Thu 11/14/2024 14:33:15.950 - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 14:33:17.990 - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 14:33:20.019 - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 14:33:22.048 - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 14:33:24.077 - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 14:33:26.107 - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 14:33:28.136 - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 02:38:56 PM - Reply from 142.251.220.238: bytes=32 time=29.98ms TTL=58
Thu 11/14/2024 02:38:58 PM - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 02:39:00 PM - Reply from 142.251.220.238: bytes=32 time=15.89ms TTL=58
Thu 11/14/2024 02:39:02 PM - Reply from 142.251.220.238: bytes=32 time=15.65ms TTL=58
Thu 11/14/2024 02:39:06 PM - Reply from 142.251.220.238: bytes=32 time=31.25ms TTL=58
Thu 11/14/2024 02:39:08 PM - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 02:39:10 PM - Reply from 142.251.220.238: bytes=32 time=23.89ms TTL=58
Thu 11/14/2024 02:39:12 PM - Reply from 142.251.220.238: bytes=32 time=15.92ms TTL=58
Thu 11/14/2024 02:39:14 PM - Reply from 142.251.220.238: bytes=32 time=15.89ms TTL=58
Thu 11/14/2024 02:39:16 PM - Reply from 142.251.220.238: bytes=32 time=27.73ms TTL=58
Thu 11/14/2024 02:39:18 PM - Reply from 142.251.220.238: bytes=32 time=16.63ms TTL=58
Thu 11/14/2024 02:39:20 PM - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 02:39:22 PM - Reply from 142.251.220.238: bytes=32 time=29.80ms TTL=58
Thu 11/14/2024 02:39:22 PM - Reply from 142.251.220.238: bytes=32 time=26.35ms TTL=58
Thu 11/14/2024 02:39:28 PM - Reply from 142.251.220.238: bytes=32 time=31.25ms TTL=58
Thu 11/14/2024 02:39:30 PM - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 02:39:32 PM - Reply from 142.251.220.238: bytes=32 time=23.41ms TTL=58
Thu 11/14/2024 02:39:34 PM - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 02:39:36 PM - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 02:39:38 PM - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 02:39:40 PM - Reply from 142.251.220.238: bytes=32 time=15.86ms TTL=58
Thu 11/14/2024 02:39:42 PM - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 02:39:44 PM - Reply from 142.251.220.238: bytes=32 time=15.89ms TTL=58
Thu 11/14/2024 02:39:46 PM - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 02:39:48 PM - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 02:39:50 PM - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 02:39:52 PM - Reply from 142.251.220.238: bytes=32 time=15.63ms TTL=58
Thu 11/14/2024 02:39:54 PM - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 02:39:56 PM - Reply from 142.251.220.238: bytes=32 time=15.90ms TTL=58
Thu 11/14/2024 02:39:58 PM - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 02:40:00 PM - Reply from 142.251.220.238: bytes=32 time=27.22ms TTL=58
Thu 11/14/2024 02:40:02 PM - Reply from 142.251.220.238: bytes=32 time=15.64ms TTL=58
Thu 11/14/2024 02:40:04 PM - Reply from 142.251.220.238: bytes=32 time=15.90ms TTL=58
Thu 11/14/2024 02:40:06 PM - Reply from 142.251.220.238: bytes=32 time=15.90ms TTL=58
